"time","duration","sessionName","eventName","eventStartTime","eventDuration","fps"
"1759054932857","3000","streaming_webrtc_1759054932397","fps","1759054929857","null","1.67"
"1759054935983","3000","streaming_webrtc_1759054932397","fps","1759054932983","null","2.33"
